condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
salient,nogo,2nogov1.png,,,,,,,0,10,10,16,,,,,,,,,,,,,,,,,,,,,,,,,122.77093702100683,123.77342711901292,123.74006256391294,125.74546675093006,None,123.74006256391294,None,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,go,2go.png,,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,126.76486388396006,127.76746592391282,127.75072094600182,None,space,127.75072094600182,126.76486388396006,0.356693652109243,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,nogo,2nogov4.png,,,,,,,0,12,12,19,,,,,,,,,,,,,,,,,,,,,,,,,128.15177611401305,129.15446628595237,129.1377823239891,131.14319470594637,None,129.1377823239891,None,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,go,2gov1.png,,,,,,,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,,,132.16244348092005,133.16522844601423,133.14858876890503,None,space,133.14858876890503,132.16244348092005,0.34655081294476986,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,go,2gov3.png,,,,,,,0,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,133.5330286709359,134.53560834401287,134.51902431400958,None,space,134.51902431400958,None,0.3478727829642594,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,nogo,2nogo1.png,,,,,,,0,15,15,11,,,,,,,,,,,,,,,,,,,,,,,,,134.9033649689518,135.90599870600272,135.88914476893842,137.89424797601532,None,135.88914476893842,None,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,nogo,2nogo.png,,,,,,,0,16,16,10,,,,,,,,,,,,,,,,,,,,,,,,,138.91399531892966,139.9166068509221,139.8832054559607,141.88843121391255,None,139.8832054559607,138.91399531892966,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,nogo,2nogov3.png,,,,,,,0,17,17,18,,,,,,,,,,,,,,,,,,,,,,,,,142.90808005898725,143.91064181900583,143.89384143101051,145.8992244239198,None,143.89384143101051,142.90808005898725,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,nogo,2nogo4.png,,,,,,,0,18,18,14,,,,,,,,,,,,,,,,,,,,,,,,,146.91879010398407,147.92139451391995,147.88788033591118,149.89328034594655,None,147.88788033591118,146.91879010398407,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,go,2go2.png,,,,,,,0,19,19,2,,,,,,,,,,,,,,,,,,,,,,,,,150.9128298459109,151.91538138594478,151.8818276009988,None,space,151.8818276009988,150.9128298459109,0.38913648994639516,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.2994189109886,None,space,24.466243179980665,152.2994189109886,None,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,,1nogov.png,st,circle,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.83199312596116,177.83481736900285,177.81779403390829,179.82315570593346,179.80651610391214,None,left,1.5457452780101448,179.80651610391214,None,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,,1gov.png,st,rectangle,,,,,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.39405801601242,182.39668314892333,182.36331611091737,184.36880866601132,184.36880866601132,None,right,1.0461931030731648,184.36880866601132,None,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,,1gov4.png,st,rectangle,,,,,,,,,0,2,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.45494834601413,186.45757168892305,186.4410009009298,188.4462523839902,188.4462523839902,None,right,1.0498927399748936,188.4462523839902,None,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,,nonstr.png,nonst,rectangle,,,,,,,,,0,3,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.53244664601516,190.53526111098472,190.51853439596016,192.52376356592868,192.52376356592868,None,left,0.42705602291971445,192.52376356592868,None,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,,nonstrv1.png,nonst,rectangle,,,,,,,,,0,4,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.9918754339451,193.9944106459152,193.9776412039064,195.98295988398604,195.98295988398604,None,left,1.1719898999435827,195.98295988398604,None,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,,1nogo.png,st,circle,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.202975993976,198.20557585393544,198.17190997395664,200.17599572893232,200.17599572893232,None,right,0.5396453479770571,200.17599572893232,None,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,,nonstr3.png,nonst,rectangle,,,,,,,,,0,6,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.76255384390242,201.765115913935,201.73182796593755,203.7370905089192,203.7370905089192,None,right,1.601230790023692,203.7370905089192,None,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,,1nogov3.png,st,circle,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.3748374140123,206.37739057594445,206.3606458689319,208.36615151399747,208.36615151399747,None,left,0.9929701200453565,208.36615151399747,None,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,,nonstrv3.png,nonst,rectangle,,,,,,,,,0,8,8,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.40217805595603,210.40498637396377,210.38808590592816,212.39359878597315,212.39359878597315,None,right,0.766527837025933,212.39359878597315,None,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
