condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
salient,go,2gov.png,,,,,,,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,130.76584181003273,131.76860973692965,131.7517851749435,None,space,131.7517851749435,130.76584181003273,0.41274152498226613,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,2nogov4.png,,,,,,,0,12,12,19,,,,,,,,,,,,,,,,,,,,,,,,,132.2030171949882,133.205622629961,133.189038004959,135.19427203002851,None,133.189038004959,None,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,2go2.png,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,136.2137668200303,137.21633561199997,137.18292685202323,None,space,137.18292685202323,136.2137668200303,0.4095324749359861,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,2go4.png,,,,,,,0,14,14,4,,,,,,,,,,,,,,,,,,,,,,,,,137.63450788496993,138.63681216002442,138.60354770696722,None,space,138.60354770696722,None,0.3736966649303213,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,2nogo.png,,,,,,,0,15,15,10,,,,,,,,,,,,,,,,,,,,,,,,,139.0212902049534,140.02384279994294,140.0071555649629,142.01259519194718,None,140.0071555649629,None,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,nogo,2nogov3.png,,,,,,,0,16,16,18,,,,,,,,,,,,,,,,,,,,,,,,,143.03189879702404,144.03458348196,144.01807479502168,146.02335970499553,None,144.01807479502168,143.03189879702404,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,go,2go3.png,,,,,,,0,17,17,3,,,,,,,,,,,,,,,,,,,,,,,,,147.04258891695645,148.04537975497078,148.02870531997178,None,space,148.02870531997178,147.04258891695645,0.3792489180341363,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,nogo,2nogo3.png,,,,,,,0,18,18,13,,,,,,,,,,,,,,,,,,,,,,,,,148.44655659492128,149.44928905495908,149.43247755500488,151.43787203694228,None,149.43247755500488,None,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,go,2gov1.png,,,,,,,0,19,19,6,,,,,,,,,,,,,,,,,,,,,,,,,152.45702851493843,153.45986177702434,153.4431791770039,None,space,153.4431791770039,152.45702851493843,0.445553574943915,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.91094154003076,None,space,68.36166923004203,153.91094154003076,None,,,,,,,,,,,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,nonstrv3.png,nonst,rectangle,,,,,,,,,0,0,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.32712584699038,223.3297662199475,223.3132339370204,225.31833175197244,225.30160166695714,None,left,1.2996235030004755,225.30160166695714,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
nonsalient,,1nogo2.png,st,circle,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.63859558699187,227.6413573649479,227.6244682619581,229.63000115193427,229.63000115193427,None,right,0.8690938630606979,229.63000115193427,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,1nogov.png,st,circle,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.54901921993587,231.5518253799528,231.53499157202896,233.54027820995543,233.52358535502572,None,right,0.31819254998117685,233.52358535502572,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,1nogov1.png,st,circle,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.8913280320121,234.89390941197053,234.87726769503206,236.88255769503303,236.86598961497657,None,left,0.340695631923154,236.86598961497657,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
salient,,1gov3.png,st,rectangle,,,,,,,,,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.25029520492535,238.2529576899251,238.23631050495896,240.24160735995974,240.24160735995974,None,right,0.33992209704592824,240.24160735995974,None,7,001,2021_Dec_01_1450,psychophysics_project,2021.2.3,59.82086106319763,
